Date,Open,High,Low,Close,Adj Close,Volume
02-01-2014,11383.80,11578.90,11150.20,11183.20,11183.07,39900.00
03-01-2014,11098.25,11208.00,11052.60,11181.65,11181.52,28200.00
06-01-2014,11174.35,11174.35,10996.95,11049.05,11048.92,20500.00
07-01-2014,11097.80,11154.10,10892.15,11036.75,11036.62,30300.00
08-01-2014,11071.75,11122.75,10988.80,11053.70,11053.57,33400.00
09-01-2014,11068.90,11090.25,10925.15,10970.45,10970.32,29400.00
10-01-2014,10969.35,11056.90,10788.20,10805.30,10805.17,35900.00
13-01-2014,10814.65,11070.20,10814.65,11021.60,11021.47,26100.00
14-01-2014,10989.15,11065.65,10922.60,10948.90,10948.77,21600.00
15-01-2014,11000.20,11164.10,10986.10,11125.40,11125.27,35900.00
16-01-2014,11187.35,11192.80,11070.00,11092.55,11092.42,22800.00
17-01-2014,11080.10,11081.95,10893.75,10911.35,10911.22,30600.00
20-01-2014,10909.90,11022.45,10876.25,11007.50,11007.37,17600.00
21-01-2014,11067.05,11190.10,11036.40,11171.50,11171.37,22400.00
22-01-2014,11164.25,11248.35,11094.80,11207.35,11207.22,21600.00
23-01-2014,11183.75,11221.10,11122.35,11199.00,11198.87,21100.00
24-01-2014,11063.20,11132.70,10972.10,10982.40,10982.27,26100.00
27-01-2014,10802.30,10802.30,10520.90,10540.40,10540.28,37200.00
28-01-2014,10541.50,10708.00,10333.40,10507.60,10507.48,46700.00
29-01-2014,10609.90,10644.20,10406.95,10437.75,10437.63,27900.00
30-01-2014,10287.85,10314.25,10101.20,10153.15,10153.03,47900.00
31-01-2014,10193.55,10266.45,10130.30,10237.75,10237.63,44100.00
03-02-2014,10205.45,10222.65,10089.25,10102.10,10101.98,30400.00
04-02-2014,9983.65,10222.10,9944.00,10191.20,10191.08,35500.00
05-02-2014,10215.65,10254.05,10112.50,10231.65,10231.53,27700.00
06-02-2014,10257.10,10321.50,10107.80,10205.20,10205.08,34800.00
07-02-2014,10311.95,10321.10,10180.85,10263.20,10263.08,23100.00
10-02-2014,10287.35,10310.30,10187.80,10213.90,10213.78,18000.00
11-02-2014,10242.10,10296.80,10200.60,10245.45,10245.33,15200.00
12-02-2014,10307.60,10395.15,10307.60,10348.80,10348.68,24100.00
13-02-2014,10360.70,10386.65,10113.80,10135.70,10135.58,25800.00
14-02-2014,10169.00,10229.45,10064.75,10203.75,10203.63,28300.00
18-02-2014,10324.35,10618.85,10296.25,10575.20,10575.08,26100.00
19-02-2014,10548.35,10630.15,10520.30,10609.60,10609.48,20200.00
20-02-2014,10515.30,10525.70,10419.10,10428.30,10428.18,24200.00
21-02-2014,10429.30,10584.75,10429.30,10554.35,10554.23,16400.00
24-02-2014,10508.95,10711.65,10471.45,10683.50,10683.38,21300.00
25-02-2014,10742.15,10768.95,10611.75,10666.75,10666.63,19100.00
26-02-2014,10659.20,10758.65,10659.20,10730.40,10730.28,20100.00
28-02-2014,10793.60,10793.60,10688.95,10764.70,10764.58,23200.00
03-03-2014,10705.45,10836.20,10613.00,10651.95,10651.83,24100.00
04-03-2014,10661.40,10936.75,10661.40,10929.05,10928.92,36100.00
05-03-2014,10987.60,11122.55,10899.40,11098.80,11098.67,46400.00
06-03-2014,11147.60,11303.20,11117.25,11278.35,11278.22,37200.00
07-03-2014,11357.90,11947.50,11332.60,11884.75,11884.61,70900.00
10-03-2014,11784.55,12157.90,11784.55,12108.10,12107.96,60300.00
11-03-2014,12132.00,12285.45,11994.85,12043.15,12043.01,55500.00
12-03-2014,11997.85,12142.90,11887.75,12024.10,12023.96,33100.00
13-03-2014,12062.35,12308.70,12062.35,12141.45,12141.31,34400.00
14-03-2014,11984.50,12090.05,11867.15,12055.85,12055.71,34700.00
18-03-2014,12093.20,12268.75,12052.35,12114.85,12114.71,38200.00
19-03-2014,12190.85,12256.45,12132.40,12186.55,12186.41,33300.00
20-03-2014,12160.65,12160.65,11989.95,12017.25,12017.11,22800.00
21-03-2014,12083.45,12123.15,12043.40,12092.35,12092.21,33500.00
24-03-2014,12134.65,12423.00,12134.65,12408.15,12408.01,31000.00
25-03-2014,12403.65,12523.70,12394.30,12450.00,12449.86,25000.00
26-03-2014,12529.45,12570.60,12469.15,12518.35,12518.20,36200.00
27-03-2014,12560.90,12767.50,12513.10,12604.95,12604.80,55400.00
28-03-2014,12693.25,12787.50,12633.30,12754.70,12754.55,48600.00
31-03-2014,12855.50,12869.35,12660.05,12742.05,12741.90,40600.00
01-04-2014,12806.15,12806.15,12509.95,12588.50,12588.35,37900.00
02-04-2014,12674.35,12740.15,12542.35,12715.30,12715.15,40400.00
03-04-2014,12749.85,12754.75,12518.00,12563.85,12563.70,35400.00
04-04-2014,12523.30,12656.50,12430.85,12551.70,12551.55,29600.00
07-04-2014,12562.35,12615.35,12439.55,12506.45,12506.30,27600.00
09-04-2014,12593.15,12957.55,12548.45,12937.40,12937.25,40100.00
10-04-2014,12937.40,13055.60,12881.20,12949.40,12949.25,38400.00
11-04-2014,12822.25,12934.90,12777.95,12840.20,12840.05,25000.00
15-04-2014,12830.50,12831.60,12537.70,12579.90,12579.75,27100.00
16-04-2014,12557.40,12727.05,12514.75,12563.15,12563.00,30600.00
17-04-2014,12564.55,12819.10,12514.80,12787.25,12787.10,32600.00
21-04-2014,12845.30,13002.75,12838.85,12958.50,12958.35,30100.00
22-04-2014,12989.55,13040.15,12913.90,12987.10,12986.95,24800.00
23-04-2014,12961.35,13176.05,12957.90,13122.10,13121.95,49600.00
25-04-2014,13134.50,13268.60,12968.80,13034.50,13034.35,40100.00
28-04-2014,13038.95,13116.00,12927.75,13081.55,13081.40,29700.00
29-04-2014,13107.55,13124.30,12897.35,12910.55,12910.40,28100.00
30-04-2014,12946.10,13100.75,12738.60,12855.85,12855.70,41100.00
02-05-2014,12920.35,12995.60,12818.85,12842.00,12841.85,19400.00
05-05-2014,12841.40,12981.60,12773.05,12880.65,12880.50,33000.00
06-05-2014,12961.50,13012.55,12917.15,12966.05,12965.90,24600.00
07-05-2014,12944.90,13017.00,12877.75,12938.20,12938.05,25800.00
08-05-2014,12982.75,13095.50,12952.50,13037.40,13037.25,23500.00
09-05-2014,13023.40,13814.25,13017.90,13750.50,13750.34,50600.00
12-05-2014,13801.00,14152.45,13801.00,14085.05,14084.89,44400.00
13-05-2014,14269.25,14367.75,14105.65,14165.55,14165.38,62500.00
14-05-2014,14124.55,14320.75,14063.60,14207.10,14206.93,55100.00
15-05-2014,14186.10,14301.30,14159.10,14236.55,14236.38,55300.00
16-05-2014,14675.60,15742.05,14468.10,14853.00,14852.83,103900.00
19-05-2014,15032.00,15305.65,15032.00,15222.15,15221.97,57800.00
20-05-2014,15351.65,15362.55,15087.70,15111.20,15111.02,46800.00
21-05-2014,15126.60,15126.60,14857.50,14952.10,14951.93,36900.00
22-05-2014,15009.90,15204.45,14938.25,15055.55,15055.38,37500.00
23-05-2014,15091.70,15321.25,14972.60,15285.50,15285.32,53900.00
26-05-2014,15431.95,15568.05,14969.25,15175.90,15175.72,52800.00
27-05-2014,15141.50,15158.40,14934.95,15084.00,15083.82,30600.00
28-05-2014,15075.60,15198.35,15032.45,15173.35,15173.17,27000.00
29-05-2014,15169.25,15254.50,15007.50,15030.30,15030.13,44800.00
30-05-2014,15093.10,15108.80,14709.30,14793.40,14793.23,43300.00
02-06-2014,14786.45,15321.80,14770.00,15287.25,15287.07,33500.00
03-06-2014,15335.85,15414.05,15148.50,15257.50,15257.32,36300.00
04-06-2014,15221.30,15396.90,15171.15,15333.40,15333.22,32600.00
05-06-2014,15250.60,15337.15,15152.40,15282.15,15281.97,34700.00
06-06-2014,15405.75,15576.05,15320.75,15543.15,15542.97,39700.00
09-06-2014,15625.40,15725.80,15522.85,15567.40,15567.22,41900.00
10-06-2014,15585.40,15585.40,15337.85,15427.80,15427.62,30500.00
11-06-2014,15436.05,15660.05,15367.60,15450.55,15450.37,40200.00
12-06-2014,15456.25,15518.75,15293.40,15464.85,15464.67,26800.00
13-06-2014,15506.75,15599.75,15083.90,15106.90,15106.72,33000.00
16-06-2014,15055.20,15091.30,14858.90,15030.00,15029.83,32700.00
17-06-2014,14982.35,15393.75,14933.25,15373.20,15373.02,36300.00
18-06-2014,15369.50,15461.55,15128.45,15220.40,15220.22,36100.00
19-06-2014,15282.05,15332.75,14976.15,15067.40,15067.23,26200.00
20-06-2014,15064.45,15195.55,14978.50,14997.65,14997.48,21900.00
23-06-2014,15014.20,15148.00,14940.35,15076.35,15076.17,25000.00
24-06-2014,15142.35,15341.95,15142.35,15309.50,15309.32,29100.00
25-06-2014,15320.95,15320.95,15221.15,15237.85,15237.67,23400.00
26-06-2014,15247.10,15333.25,15020.65,15050.00,15049.83,37300.00
27-06-2014,15092.25,15117.15,14946.85,14992.35,14992.18,20200.00
30-06-2014,15059.10,15329.95,15059.10,15241.90,15241.72,29800.00
01-07-2014,15288.80,15365.65,15261.15,15321.35,15321.17,24800.00
02-07-2014,15464.55,15519.30,15414.85,15490.35,15490.17,23700.00
03-07-2014,15512.75,15554.70,15431.50,15451.65,15451.47,22300.00
04-07-2014,15458.75,15582.65,15305.00,15556.15,15555.97,20800.00
07-07-2014,15589.50,15592.80,15349.20,15367.60,15367.42,33200.00
08-07-2014,15437.40,15437.40,14889.35,14997.50,14997.33,26400.00
09-07-2014,15008.25,15093.45,14827.10,14931.10,14930.93,30700.00
10-07-2014,14940.00,15371.05,14621.95,14821.70,14821.53,48100.00
11-07-2014,14796.90,14918.85,14406.65,14447.20,14447.03,33000.00
14-07-2014,14508.10,14561.75,14338.65,14489.75,14489.58,28200.00
15-07-2014,14601.85,14919.55,14601.85,14891.90,14891.73,32900.00
16-07-2014,15033.95,15299.80,15006.45,15265.45,15265.27,39300.00
17-07-2014,15258.95,15301.95,15156.00,15269.05,15268.87,26100.00
18-07-2014,15169.00,15463.15,15089.30,15389.35,15389.17,30500.00
21-07-2014,15510.00,15554.90,15355.35,15385.95,15385.77,26100.00
22-07-2014,15440.35,15473.35,15306.35,15427.35,15427.17,21700.00
23-07-2014,15513.45,15626.90,15398.70,15463.00,15462.82,31100.00
24-07-2014,15471.35,15559.10,15410.20,15534.35,15534.17,28200.00
25-07-2014,15494.85,15571.90,15272.45,15322.25,15322.07,27800.00
28-07-2014,15399.50,15403.90,15162.05,15212.15,15211.97,22700.00
30-07-2014,15256.20,15470.60,15184.65,15452.40,15452.22,29200.00
31-07-2014,15447.90,15499.50,15233.00,15267.60,15267.42,39200.00
01-08-2014,15137.60,15417.25,15096.10,15127.80,15127.62,36300.00
04-08-2014,15242.25,15326.15,15128.10,15242.35,15242.17,22900.00
05-08-2014,15283.60,15343.50,15105.90,15293.25,15293.07,27400.00
06-08-2014,15209.05,15239.35,14983.50,15008.65,15008.48,21300.00
07-08-2014,15004.85,15135.10,14956.85,14986.85,14986.68,22000.00
08-08-2014,14831.75,14858.95,14709.10,14765.75,14765.58,27200.00
11-08-2014,14858.75,14896.90,14807.00,14846.80,14846.63,20900.00
12-08-2014,14943.80,15078.10,14850.15,15056.70,15056.53,19700.00
13-08-2014,15007.25,15078.35,14843.80,14910.90,14910.73,27200.00
14-08-2014,14954.20,15144.75,14940.30,15089.65,15089.47,24700.00
18-08-2014,15099.70,15465.05,15068.35,15439.75,15439.57,28400.00
19-08-2014,15507.05,15624.35,15469.85,15524.65,15524.47,31900.00
20-08-2014,15566.75,15566.75,15448.90,15481.70,15481.52,19900.00
21-08-2014,15475.50,15721.95,15462.50,15662.20,15662.02,34500.00
22-08-2014,15699.05,15865.30,15696.30,15819.15,15818.97,32000.00
25-08-2014,15817.55,15973.35,15625.45,15669.00,15668.82,22500.00
26-08-2014,15530.65,15674.55,15503.40,15624.10,15623.92,21100.00
27-08-2014,15745.60,15758.85,15669.05,15717.65,15717.47,18400.00
28-08-2014,15758.05,15794.60,15688.15,15740.40,15740.22,27100.00
01-09-2014,15790.25,16060.20,15790.25,16012.80,16012.61,23700.00
02-09-2014,16049.75,16170.85,16047.30,16130.55,16130.36,26300.00
03-09-2014,16208.55,16208.55,16048.10,16110.00,16109.81,30700.00
04-09-2014,16102.90,16114.75,15926.65,16033.55,16033.36,21700.00
05-09-2014,16030.45,16111.00,15891.75,15982.50,15982.31,21500.00
08-09-2014,16084.20,16222.55,16049.25,16206.70,16206.51,20500.00
09-09-2014,16171.80,16199.10,16085.70,16156.75,16156.56,17500.00
10-09-2014,16173.50,16190.50,16053.90,16151.75,16151.56,20600.00
11-09-2014,16197.30,16309.70,16166.85,16204.15,16203.96,30000.00
12-09-2014,16208.00,16278.65,16145.70,16254.15,16253.96,22600.00
15-09-2014,16158.65,16239.70,16106.05,16167.55,16167.36,27100.00
16-09-2014,16160.70,16169.60,15814.65,15844.10,15843.92,28600.00
17-09-2014,15926.85,15937.30,15799.70,15838.60,15838.42,22300.00
18-09-2014,15778.75,16173.80,15770.80,16156.85,16156.66,21600.00
19-09-2014,16197.50,16197.50,16064.60,16152.15,16151.96,23900.00
22-09-2014,16052.55,16272.35,16021.15,16194.55,16194.36,19100.00
23-09-2014,16194.40,16240.55,15894.55,15902.85,15902.67,23900.00
24-09-2014,15883.45,15954.45,15625.85,15740.30,15740.12,26000.00
25-09-2014,15690.50,15734.10,15213.35,15299.05,15298.87,41700.00
26-09-2014,15262.90,15666.40,15168.40,15607.25,15607.07,37300.00
29-09-2014,15636.45,15636.45,15420.80,15473.55,15473.37,20400.00
30-09-2014,15441.35,15596.10,15336.70,15392.25,15392.07,28400.00
01-10-2014,15370.70,15377.60,15270.95,15316.20,15316.02,20700.00
07-10-2014,15214.25,15344.60,15157.70,15180.25,15180.07,20600.00
08-10-2014,15130.35,15371.80,15130.35,15344.00,15343.82,19800.00
09-10-2014,15434.35,15795.65,15434.35,15741.20,15741.02,27800.00
10-10-2014,15603.45,15628.75,15439.35,15453.80,15453.62,24200.00
13-10-2014,15360.70,15705.70,15301.65,15677.50,15677.32,26100.00
14-10-2014,15790.95,15843.70,15560.25,15751.55,15751.37,32200.00
16-10-2014,15690.35,15836.15,15477.05,15541.60,15541.42,30900.00
17-10-2014,15617.35,15973.50,15603.45,15929.80,15929.61,31300.00
20-10-2014,16259.70,16297.25,16157.05,16216.60,16216.41,32100.00
21-10-2014,16281.95,16452.85,16269.00,16427.25,16427.06,37100.00
22-10-2014,16570.40,16572.50,16365.60,16444.70,16444.51,22200.00
27-10-2014,16538.90,16664.30,16470.85,16556.60,16556.41,22900.00
28-10-2014,16607.50,16702.30,16607.50,16667.00,16666.81,18100.00
29-10-2014,16770.20,16770.20,16596.25,16634.05,16633.86,19000.00
30-10-2014,16606.50,16776.35,16561.35,16760.05,16759.86,32000.00
31-10-2014,16812.45,17060.15,16783.65,17045.05,17044.85,30100.00
03-11-2014,17087.00,17168.40,16934.85,17134.10,17133.90,27900.00
05-11-2014,17201.45,17425.20,17157.80,17352.95,17352.75,26900.00
07-11-2014,17366.85,17383.60,17202.20,17347.05,17346.85,27500.00
10-11-2014,17364.65,17412.00,17203.00,17262.40,17262.20,18600.00
11-11-2014,17266.25,17434.15,17220.45,17390.20,17390.00,22500.00
12-11-2014,17461.45,17635.90,17453.45,17587.05,17586.85,27100.00
13-11-2014,17645.30,17651.00,17389.65,17453.00,17452.80,23700.00
14-11-2014,17460.55,17601.15,17410.50,17576.80,17576.60,27000.00
17-11-2014,17571.70,17676.60,17469.25,17640.40,17640.20,26900.00
18-11-2014,17672.85,17750.25,17601.15,17702.55,17702.35,24200.00
19-11-2014,17739.20,17745.70,17557.10,17585.65,17585.45,19800.00
20-11-2014,17649.35,17681.80,17546.70,17645.05,17644.85,38100.00
21-11-2014,17767.75,18139.95,17716.65,18056.30,18056.09,56300.00
24-11-2014,18128.60,18313.10,18119.65,18281.95,18281.74,40400.00
25-11-2014,18261.95,18261.95,17992.50,18037.05,18036.84,57600.00
26-11-2014,17914.35,18128.15,17890.85,17975.95,17975.74,32400.00
27-11-2014,17988.70,18054.65,17898.40,18022.50,18022.29,44000.00
28-11-2014,18082.40,18615.40,18082.40,18513.15,18512.94,67200.00
01-12-2014,18586.95,18676.10,18497.00,18525.30,18525.09,43700.00
02-12-2014,18434.75,18601.85,18301.00,18555.85,18555.63,54700.00
03-12-2014,18549.75,18723.65,18518.00,18645.85,18645.63,44100.00
04-12-2014,18758.80,18793.15,18575.35,18782.85,18782.63,46300.00
05-12-2014,18827.60,18875.45,18706.25,18756.75,18756.53,41400.00
08-12-2014,18804.95,18804.95,18486.55,18510.05,18509.84,32500.00
09-12-2014,18499.95,18585.35,18248.10,18290.65,18290.44,39700.00
10-12-2014,18183.10,18532.90,18183.10,18462.95,18462.73,0.00
11-12-2014,18427.50,18529.65,18218.40,18405.00,18404.79,0.00
12-12-2014,18413.70,18501.75,18236.55,18299.75,18299.54,38100.00
15-12-2014,18176.70,18470.05,18157.25,18372.65,18372.44,0.00
16-12-2014,18249.00,18308.95,17776.35,17830.55,17830.34,0.00
17-12-2014,17762.25,18051.85,17502.45,17865.75,17865.54,0.00
18-12-2014,18238.00,18356.30,18109.35,18326.60,18326.39,0.00
19-12-2014,18545.70,18563.60,18413.75,18478.90,18478.69,63600.00
22-12-2014,18562.35,18801.15,18424.00,18747.35,18747.13,0.00
23-12-2014,18746.80,18923.60,18558.50,18603.75,18603.53,0.00
24-12-2014,18582.75,18709.15,18493.30,18535.35,18535.13,0.00
26-12-2014,18602.55,18681.75,18448.60,18557.20,18556.98,0.00
29-12-2014,18589.60,18700.70,18501.05,18528.35,18528.13,0.00
30-12-2014,18573.25,18671.95,18428.10,18647.55,18647.33,0.00
31-12-2014,18659.60,18774.20,18659.60,18736.65,18736.43,0.00
02-01-2015,18752.20,19118.85,18752.20,19057.80,19057.58,0.00
05-01-2015,19155.20,19166.00,18987.70,19017.40,19017.18,0.00
06-01-2015,18874.60,18874.60,18388.35,18430.75,18430.54,0.00
07-01-2015,18382.55,18482.05,18211.50,18304.25,18304.04,0.00
08-01-2015,18587.10,18752.30,18486.20,18701.40,18701.18,0.00
09-01-2015,18845.90,18864.00,18479.65,18637.25,18637.03,0.00
12-01-2015,18632.00,18822.05,18530.10,18795.85,18795.63,0.00
13-01-2015,18889.00,18920.65,18642.80,18707.20,18706.98,0.00
14-01-2015,18670.40,18769.65,18517.90,18603.80,18603.58,0.00
15-01-2015,19340.45,19410.40,19061.35,19235.65,19235.43,0.00
16-01-2015,19274.15,19275.80,19108.35,19223.15,19222.93,0.00
19-01-2015,19345.65,19434.20,19299.10,19406.05,19405.83,0.00
20-01-2015,19446.80,19808.25,19446.80,19767.05,19766.82,0.00
21-01-2015,19811.85,19964.95,19803.15,19843.25,19843.02,0.00
22-01-2015,19898.50,19964.25,19788.70,19917.65,19917.42,0.00
23-01-2015,20133.85,20167.65,19967.35,20072.70,20072.47,0.00
27-01-2015,20179.80,20609.25,20098.25,20555.25,20555.01,0.00
28-01-2015,20507.50,20907.55,20435.00,20491.75,20491.51,0.00
29-01-2015,20475.70,20579.00,20338.95,20528.60,20528.36,0.00
30-01-2015,20600.65,20600.65,19732.45,19843.75,19843.52,0.00
02-02-2015,19778.95,19991.40,19564.50,19865.90,19865.67,0.00
03-02-2015,19941.70,19963.70,19303.50,19382.95,19382.72,0.00
04-02-2015,19423.25,19423.25,19113.35,19174.00,19173.78,0.00
05-02-2015,19170.15,19444.65,18977.90,19051.90,19051.68,0.00
09-02-2015,18650.00,18667.05,18379.60,18403.85,18403.63,0.00
10-02-2015,18242.95,18933.70,18226.90,18752.50,18752.28,0.00
11-02-2015,18890.75,19051.80,18890.75,18940.80,18940.58,0.00
12-02-2015,19073.45,19176.80,18739.85,19128.60,19128.38,0.00
13-02-2015,19284.30,19441.00,19164.25,19369.70,19369.47,0.00
16-02-2015,19518.85,19532.70,19127.15,19189.95,19189.73,0.00
18-02-2015,19226.40,19389.80,19171.90,19296.50,19296.28,0.00
19-02-2015,19296.15,19377.45,18876.25,19188.30,19188.08,0.00
20-02-2015,19157.30,19307.80,18882.25,19073.55,19073.33,61900.00
23-02-2015,19199.15,19219.75,18835.35,18913.40,18913.18,0.00
24-02-2015,18940.45,19022.15,18737.75,18883.80,18883.58,0.00
25-02-2015,18969.20,19069.15,18700.20,18733.05,18732.83,0.00
26-02-2015,18781.40,18795.10,18489.60,18538.10,18537.88,0.00
27-02-2015,18659.65,19114.45,18654.85,19074.55,19074.33,0.00
02-03-2015,19954.50,20065.50,19750.85,20008.10,20007.87,0.00
03-03-2015,20043.40,20043.40,19821.55,19961.20,19960.97,0.00
04-03-2015,20541.65,20541.65,19555.10,19643.90,19643.67,0.00
05-03-2015,19605.60,19830.35,19398.75,19748.00,19747.77,58100.00
09-03-2015,19545.25,19545.25,19112.65,19145.55,19145.33,0.00
10-03-2015,19170.30,19271.80,18915.10,19054.40,19054.18,0.00
11-03-2015,19050.30,19181.80,18917.90,19044.00,19043.78,0.00
12-03-2015,19201.10,19255.90,19095.30,19141.85,19141.63,0.00
13-03-2015,19359.75,19376.85,18737.35,18779.80,18779.58,0.00
16-03-2015,18786.65,18912.85,18688.00,18837.35,18837.13,0.00
17-03-2015,18961.30,19121.85,18781.50,19058.25,19058.03,0.00
18-03-2015,19080.25,19234.40,18937.25,19147.25,19147.03,0.00
19-03-2015,19345.70,19373.45,18739.85,18811.15,18810.93,0.00
20-03-2015,18778.80,18782.95,18541.50,18606.35,18606.13,0.00
23-03-2015,18695.05,18696.70,18409.90,18449.00,18448.79,0.00
24-03-2015,18348.35,18546.25,18289.75,18331.45,18331.24,0.00
25-03-2015,18364.30,18433.00,18271.60,18310.10,18309.89,0.00
26-03-2015,18138.80,18224.10,17729.10,17831.65,17831.44,0.00
27-03-2015,18013.65,18092.40,17719.35,18044.80,18044.59,0.00
30-03-2015,18160.20,18393.25,18089.45,18361.80,18361.59,0.00
31-03-2015,18424.10,18494.35,18158.55,18206.65,18206.44,0.00
06-04-2015,18702.60,18702.60,18455.20,18605.45,18605.23,0.00
07-04-2015,18666.60,18669.60,18351.80,18469.30,18469.09,0.00
08-04-2015,18559.55,18595.60,18381.55,18416.60,18416.38,0.00
09-04-2015,18523.35,18894.75,18401.45,18875.85,18875.63,0.00
15-04-2015,18848.65,19038.50,18615.85,18716.30,18716.08,0.00
16-04-2015,18731.65,18731.65,18504.70,18637.05,18636.83,0.00
20-04-2015,18386.25,18500.30,17984.65,18112.75,18112.54,0.00
21-04-2015,18102.30,18328.35,18036.90,18105.75,18105.54,0.00
22-04-2015,18196.85,18297.20,17798.65,18243.70,18243.49,0.00
23-04-2015,18350.35,18433.80,18143.75,18245.60,18245.39,0.00
27-04-2015,18063.60,18075.70,17738.90,17767.60,17767.39,0.00
28-04-2015,17766.55,18320.10,17766.55,18246.25,18246.04,0.00
29-04-2015,18255.80,18431.90,18202.40,18302.65,18302.44,0.00
04-05-2015,18417.50,18586.30,18350.95,18501.30,18501.09,0.00
05-05-2015,18500.00,18563.05,18396.80,18471.45,18471.23,0.00
06-05-2015,18436.90,18580.10,17757.70,17799.55,17799.34,0.00
07-05-2015,17751.40,17751.40,17246.55,17376.90,17376.70,0.00
11-05-2015,17921.15,18240.65,17841.75,18199.75,18199.54,0.00
12-05-2015,18193.55,18193.55,17597.75,17628.65,17628.45,0.00
13-05-2015,17779.25,18127.80,17650.35,18097.45,18097.24,0.00
14-05-2015,18071.00,18156.95,17806.10,18116.20,18115.99,0.00
18-05-2015,18274.60,18439.70,18213.75,18422.95,18422.73,0.00
19-05-2015,18364.90,18556.05,18296.75,18380.40,18380.19,0.00
20-05-2015,18432.60,18619.60,18432.60,18555.15,18554.94,0.00
21-05-2015,18593.85,18603.80,18398.65,18513.15,18512.94,0.00
25-05-2015,18405.05,18475.55,18302.50,18324.85,18324.64,0.00
26-05-2015,18339.10,18378.20,18226.00,18329.30,18329.09,0.00
27-05-2015,18299.65,18561.50,18236.25,18538.85,18538.63,0.00
28-05-2015,18562.75,18639.65,18381.75,18449.20,18448.98,0.00
29-05-2015,18486.40,18751.20,18461.45,18721.35,18721.13,0.00
01-06-2015,18721.15,18832.50,18598.70,18617.00,18616.78,0.00
02-06-2015,18656.05,18656.05,17932.30,17977.30,17977.09,0.00
03-06-2015,17978.15,17978.15,17567.20,17721.40,17721.20,0.00
04-06-2015,17757.35,17777.90,17469.65,17719.20,17718.99,0.00
